county,town,year,month_num,crime_type,crime_count,population,crime_rate_per_10k
Cheshire,Cheshire East,2025,2,Drugs,64,1000000,0.64
Cheshire,Cheshire East,2025,2,Robbery,5,1000000,0.05
Cheshire,Cheshire East,2025,2,Vehicle crime,54,1000000,0.5399999999999999
Cheshire,Cheshire East,2025,3,Drugs,110,1000000,1.1
Cheshire,Cheshire East,2025,3,Robbery,9,1000000,0.09
Cheshire,Cheshire East,2025,3,Vehicle crime,62,1000000,0.62
Cheshire,Cheshire East,2025,4,Drugs,135,1000000,1.35
Cheshire,Cheshire East,2025,4,Robbery,10,1000000,0.1
Cheshire,Cheshire East,2025,4,Vehicle crime,60,1000000,0.6
Cheshire,Cheshire East,2025,5,Drugs,99,1000000,0.99
Cheshire,Cheshire East,2025,5,Robbery,12,1000000,0.12000000000000001
Cheshire,Cheshire East,2025,5,Vehicle crime,44,1000000,0.44
Cheshire,Cheshire East,2025,6,Drugs,100,1000000,1
Cheshire,Cheshire East,2025,6,Robbery,16,1000000,0.16
Cheshire,Cheshire East,2025,6,Vehicle crime,56,1000000,0.5599999999999999
Cheshire,Cheshire East,2025,7,Drugs,99,1000000,0.99
Cheshire,Cheshire East,2025,7,Robbery,9,1000000,0.09
Cheshire,Cheshire East,2025,7,Vehicle crime,69,1000000,0.69
Cheshire,Cheshire East,2025,8,Drugs,89,1000000,0.8899999999999999
Cheshire,Cheshire East,2025,8,Robbery,17,1000000,0.17
Cheshire,Cheshire East,2025,8,Vehicle crime,66,1000000,0.66
Cheshire,Cheshire East,2025,9,Drugs,98,1000000,0.98
Cheshire,Cheshire East,2025,9,Robbery,4,1000000,0.04
Cheshire,Cheshire East,2025,9,Vehicle crime,74,1000000,0.74
Cheshire,Cheshire East,2025,10,Drugs,99,1000000,0.99
Cheshire,Cheshire East,2025,10,Robbery,11,1000000,0.11
Cheshire,Cheshire East,2025,10,Vehicle crime,69,1000000,0.69
Cheshire,Cheshire East,2025,11,Drugs,104,1000000,1.04
Cheshire,Cheshire East,2025,11,Robbery,8,1000000,0.08
Cheshire,Cheshire East,2025,11,Vehicle crime,46,1000000,0.46
Cheshire,Cheshire West and Chester,2022,12,Drugs,69,1000000,0.69
Cheshire,Cheshire West and Chester,2022,12,Robbery,9,1000000,0.09
Cheshire,Cheshire West and Chester,2022,12,Vehicle crime,52,1000000,0.52
Cheshire,Cheshire West and Chester,2023,1,Drugs,54,1000000,0.5399999999999999
Cheshire,Cheshire West and Chester,2023,1,Robbery,9,1000000,0.09
Cheshire,Cheshire West and Chester,2023,1,Vehicle crime,60,1000000,0.6
Cheshire,Cheshire West and Chester,2023,2,Drugs,57,1000000,0.5700000000000001
Cheshire,Cheshire West and Chester,2023,2,Robbery,13,1000000,0.13
Cheshire,Cheshire West and Chester,2023,2,Vehicle crime,53,1000000,0.53
Cheshire,Cheshire West and Chester,2023,3,Drugs,97,1000000,0.97
Cheshire,Cheshire West and Chester,2023,3,Robbery,12,1000000,0.12000000000000001
Cheshire,Cheshire West and Chester,2023,3,Vehicle crime,60,1000000,0.6
Cheshire,Cheshire West and Chester,2023,4,Drugs,75,1000000,0.7499999999999999
Cheshire,Cheshire West and Chester,2023,4,Robbery,14,1000000,0.13999999999999999
Cheshire,Cheshire West and Chester,2023,4,Vehicle crime,63,1000000,0.63
Cheshire,Cheshire West and Chester,2023,5,Drugs,66,1000000,0.66
Cheshire,Cheshire West and Chester,2023,5,Robbery,5,1000000,0.05
Cheshire,Cheshire West and Chester,2023,5,Vehicle crime,43,1000000,0.43
Cheshire,Cheshire West and Chester,2023,6,Drugs,81,1000000,0.81
Cheshire,Cheshire West and Chester,2023,6,Robbery,7,1000000,0.06999999999999999
Cheshire,Cheshire West and Chester,2023,6,Vehicle crime,58,1000000,0.58
Cheshire,Cheshire West and Chester,2023,7,Drugs,70,1000000,0.7
Cheshire,Cheshire West and Chester,2023,7,Robbery,9,1000000,0.09
Cheshire,Cheshire West and Chester,2023,7,Vehicle crime,53,1000000,0.53
Cheshire,Cheshire West and Chester,2023,8,Drugs,70,1000000,0.7
Cheshire,Cheshire West and Chester,2023,8,Robbery,14,1000000,0.13999999999999999
Cheshire,Cheshire West and Chester,2023,8,Vehicle crime,46,1000000,0.46
Cheshire,Cheshire West and Chester,2023,9,Drugs,104,1000000,1.04
Cheshire,Cheshire West and Chester,2023,9,Robbery,15,1000000,0.15
Cheshire,Cheshire West and Chester,2023,9,Vehicle crime,55,1000000,0.55
Cheshire,Cheshire West and Chester,2023,10,Drugs,66,1000000,0.66
Cheshire,Cheshire West and Chester,2023,10,Robbery,5,1000000,0.05
Cheshire,Cheshire West and Chester,2023,10,Vehicle crime,66,1000000,0.66
Cheshire,Cheshire West and Chester,2023,11,Drugs,72,1000000,0.72
Cheshire,Cheshire West and Chester,2023,11,Robbery,7,1000000,0.06999999999999999
Cheshire,Cheshire West and Chester,2023,11,Vehicle crime,46,1000000,0.46
Cheshire,Cheshire West and Chester,2023,12,Drugs,128,1000000,1.28
Cheshire,Cheshire West and Chester,2023,12,Robbery,5,1000000,0.05
Cheshire,Cheshire West and Chester,2023,12,Vehicle crime,48,1000000,0.48000000000000004
Cheshire,Cheshire West and Chester,2024,1,Drugs,83,1000000,0.83
Cheshire,Cheshire West and Chester,2024,1,Robbery,10,1000000,0.1
Cheshire,Cheshire West and Chester,2024,1,Vehicle crime,46,1000000,0.46
Cheshire,Cheshire West and Chester,2024,2,Drugs,68,1000000,0.68
Cheshire,Cheshire West and Chester,2024,2,Robbery,9,1000000,0.09
Cheshire,Cheshire West and Chester,2024,2,Vehicle crime,43,1000000,0.43
Cheshire,Cheshire West and Chester,2024,3,Drugs,102,1000000,1.02
Cheshire,Cheshire West and Chester,2024,3,Robbery,12,1000000,0.12000000000000001
Cheshire,Cheshire West and Chester,2024,3,Vehicle crime,45,1000000,0.45
Cheshire,Cheshire West and Chester,2024,4,Drugs,67,1000000,0.67
Cheshire,Cheshire West and Chester,2024,4,Robbery,11,1000000,0.11
Cheshire,Cheshire West and Chester,2024,4,Vehicle crime,44,1000000,0.44
Cheshire,Cheshire West and Chester,2024,5,Drugs,68,1000000,0.68
Cheshire,Cheshire West and Chester,2024,5,Robbery,4,1000000,0.04
Cheshire,Cheshire West and Chester,2024,5,Vehicle crime,46,1000000,0.46
Cheshire,Cheshire West and Chester,2024,6,Drugs,58,1000000,0.58
Cheshire,Cheshire West and Chester,2024,6,Robbery,6,1000000,0.060000000000000005
Cheshire,Cheshire West and Chester,2024,6,Vehicle crime,37,1000000,0.37
Cheshire,Cheshire West and Chester,2024,7,Drugs,66,1000000,0.66
Cheshire,Cheshire West and Chester,2024,7,Robbery,9,1000000,0.09
Cheshire,Cheshire West and Chester,2024,7,Vehicle crime,37,1000000,0.37
Cheshire,Cheshire West and Chester,2024,8,Drugs,79,1000000,0.7899999999999999
Cheshire,Cheshire West and Chester,2024,8,Robbery,19,1000000,0.19
Cheshire,Cheshire West and Chester,2024,8,Vehicle crime,59,1000000,0.59
Cheshire,Cheshire West and Chester,2024,9,Drugs,77,1000000,0.77
Cheshire,Cheshire West and Chester,2024,9,Robbery,12,1000000,0.12000000000000001
Cheshire,Cheshire West and Chester,2024,9,Vehicle crime,51,1000000,0.51
Cheshire,Cheshire West and Chester,2024,10,Drugs,74,1000000,0.74
Cheshire,Cheshire West and Chester,2024,10,Robbery,8,1000000,0.08
Cheshire,Cheshire West and Chester,2024,10,Vehicle crime,61,1000000,0.61
Cheshire,Cheshire West and Chester,2024,11,Drugs,64,1000000,0.64
Cheshire,Cheshire West and Chester,2024,11,Robbery,7,1000000,0.06999999999999999
Cheshire,Cheshire West and Chester,2024,11,Vehicle crime,39,1000000,0.39
Cheshire,Cheshire West and Chester,2024,12,Drugs,92,1000000,0.92
